4.000000000000000083e-02,4.000000000000000083e-02,2.678650000000000198e-01,4.730261266666667130e-01
5.999999999999999778e-02,5.999999999999999778e-02,1.272389999999999910e-01,4.745148486111111508e-01
8.000000000000000167e-02,8.000000000000000167e-02,1.717309999999999948e-01,4.720609880555555748e-01
1.000000000000000056e-01,1.000000000000000056e-01,1.399160000000000126e-01,4.715740555555555935e-01
1.499999999999999944e-01,1.499999999999999944e-01,2.426139999999999963e-01,4.726997597222222236e-01
2.000000000000000111e-01,2.000000000000000111e-01,3.390320000000000000e-01,4.686681680555556118e-01
2.999999999999999889e-01,2.999999999999999889e-01,2.743070000000000230e-01,4.716979702777778227e-01
3.099999999999999978e-01,3.099999999999999978e-01,1.701469999999999927e-01,4.727852783333333919e-01
4.400000000000000022e-01,4.400000000000000022e-01,3.433640000000000025e-01,4.682650088888889450e-01
4.699999988079999746e-01,4.699999988079999746e-01,1.809999999999999942e-01,7.966408191869587263e-01
4.699999999999999734e-01,4.699999999999999734e-01,1.113719999999999988e-01,3.700756811111111100e-01
6.099999999999999867e-01,6.099999999999999867e-01,7.946999999999999897e-02,3.679272441666666671e-01
6.099999999999999867e-01,6.099999999999999867e-01,1.135550000000000032e-01,3.679551686111111053e-01
6.399999856950000510e-01,6.399999856950000510e-01,1.443666648860000012e-01,7.752742448070288894e-01
7.799999713899999909e-01,7.799999713899999909e-01,1.565999984739999962e-01,7.056388518718188507e-01
7.800000000000000266e-01,7.800000000000000266e-01,3.916100000000000136e-02,3.686637513888889051e-01
7.900000214579999680e-01,7.900000214579999680e-01,1.675333404540000071e-01,7.380650323034394500e-01
8.399999999999999689e-01,8.399999999999999689e-01,1.070880000000000026e-01,3.689011091666666853e-01
1.370000000000000107e+00,1.370000000000000107e+00,7.538300000000000556e-02,3.687353077777777988e-01
1.459999999999999964e+00,1.459999999999999964e+00,1.227520000000000000e-01,3.683112052777778311e-01
1.699999999999999956e+00,1.699999999999999956e+00,2.616666666670000030e-01,5.635129379194395716e-01
1.760000000000000009e+00,1.760000000000000009e+00,2.241849999999999954e-01,3.697248802777778343e-01
1.780000000000000027e+00,1.780000000000000027e+00,1.107979999999999937e-01,3.669446527777777689e-01
2.109999999999999876e+00,2.109999999999999876e+00,1.580000000000000016e-01,7.248766166505801190e-01
2.529999971390000102e+00,2.529999971390000102e+00,1.330666637419999909e-01,6.037355202004941468e-01
2.579999923709999976e+00,2.579999923709999976e+00,1.676666641239999977e-01,5.590665607611143839e-01
2.720000000000000195e+00,2.720000000000000195e+00,2.416666666670000130e-01,5.635255169898246708e-01
2.959999999999999964e+00,2.959999999999999964e+00,3.850000000000000089e-01,5.632922229691831317e-01
3.000000000000000000e+00,3.000000000000000000e+00,2.899999999999999800e-01,5.701166622708758736e-01
3.339999999999999858e+00,3.339999999999999858e+00,3.306666666670000088e-01,5.666643978479730670e-01
3.609999999999999876e+00,3.609999999999999876e+00,2.340000000000000135e-01,5.852422041692105781e-01
3.669999999999999929e+00,3.669999999999999929e+00,3.483333333329999837e-01,4.928172360058972190e-01
3.740000000000000213e+00,3.740000000000000213e+00,1.346000003810000067e-01,7.531772641148105629e-01
3.830000000000000071e+00,3.830000000000000071e+00,1.284000015260000072e-01,7.596497877101971996e-01
4.190000000000000391e+00,4.190000000000000391e+00,1.292000007630000058e-01,7.183124803529489233e-01
4.309999999999999609e+00,4.309999999999999609e+00,1.970000000000000084e-01,5.798079019449006166e-01
4.389999999999999680e+00,4.389999999999999680e+00,1.833333333330000037e-01,5.425230299357817199e-01
4.839999999999999858e+00,4.839999999999999858e+00,1.580000000000000016e-01,5.785321615725208533e-01
