2.31,1.122,0.3467
1.99,0.541,0.3147
4.17,0.949,0.159
4.77,1.8,0.239
2.31,0.772,0.381
4.96,1.222,0.397
4.01,0.964,0.3113
3.89,0.993,0.385
4.96,0.874,0.297
3.65,1.703,0.422
1.43,0.505,0.355
3.06,0.719,0.3067
3.09,0.786,0.3597
3.09,2.577,0.3907
4.29,1.9,0.4007
4.68,2.355,0.4587
4.63,2.75,0.4476
6.84,2.153,0.1999
6.12,3.52,0.3656
5.82,2.962,0.5003
5.04,1.594,0.3877
6.72,2.136,0.3857
7.49,3.022,0.4694
7.12,3.633,0.2219
7.07,2.753,0.4417
8.77,2.786,0.3413
8.8,2.87,0.4375
6.34,3.645,0.4184
5.66,5.83,0.4367
5.61,5.683,0.46
8.34,3.413,0.45
6.43,2.798,0.248
5.43,3.428,0.2443
6.08,3.604,0.452
6.74,4.11,0.494
5.68,3.153,0.4133
8.7,3.606,0.5233
7.08,2.874,0.438
7.71,3.409,0.392
7.57,2.639,0.368
5.83,2.518,0.386
6.67,2.865,0.4573
5.87,3.615,0.2253
6.55,3.159,0.339
7.29,2.936,0.534
6.05,3.709,0.4407
5.46,2.817,0.4187
